Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs
Q85G29	RR6_CYAM1	rps6	rps6				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	chloroplast [GO:0009507]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009507; GO:0019843
Q85FY2	PSBK_CYAM1	psbK	psbK				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0009535; GO:0009539; GO:0015979; GO:0016021
Q85FQ4	PSBL_CYAM1	psbL	psbL				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II reaction center [GO:0009539]	GO:0009535; GO:0009539; GO:0015979; GO:0016021
Q85FP8	PSAL_CYAM1	psaL	psaL				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]		chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I reaction center [GO:0009538]	GO:0009535; GO:0009538; GO:0015979; GO:0016021
Q85FU5	RK36_CYAM1	rpl36	rpl36				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]	chloroplast envelope [GO:0009941]; chloroplast stroma [GO:0009570]; ribosome [GO:0005840]	GO:0003735; GO:0005840; GO:0006412; GO:0009570; GO:0009941
Q85FY6	PSAB_CYAM1	psaB	psaB				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]; photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	photosynthesis [GO:0015979]; protein-chromophore linkage [GO:0018298]	4 iron, 4 sulfur cluster binding [GO:0051539]; chlorophyll binding [GO:0016168]; electron transfer activity [GO:0009055]; magnesium ion binding [GO:0000287]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem I [GO:0009522]	GO:0000287; GO:0009055; GO:0009522; GO:0009535; GO:0015979; GO:0016021; GO:0016168; GO:0018298; GO:0051539
Q85G45	RPOZ_CYAM1	rpoZ	rpoZ				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]		DNA-directed 5'-3' RNA polymerase activity [GO:0003899]	chloroplast [GO:0009507]	GO:0003899; GO:0009507
Q85FR7	RPOB_CYAM1	rpoB	rpoB				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast nucleoid [GO:0042644]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; mRNA binding [GO:0003729]; ribonucleoside binding [GO:0032549]; transcription, DNA-templated [GO:0006351]	transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; mRNA binding [GO:0003729]; ribonucleoside binding [GO:0032549]	chloroplast nucleoid [GO:0042644]	GO:0003677; GO:0003729; GO:0003899; GO:0006351; GO:0032549; GO:0042644
M1UXG8	CBBX_CYAM1	Rca CbbX CYME_CMT172C	Rca	CbbX		CYME_CMT172C	Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]		ATPase activity [GO:0016887]; ATP binding [GO:0005524]	chloroplast [GO:0009507]	GO:0005524; GO:0009507; GO:0016887
Q85G77	IF3C_CYAM1	infC	infC				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; translation initiation factor activity [GO:0003743]		translation initiation factor activity [GO:0003743]	chloroplast [GO:0009507]	GO:0003743; GO:0009507
Q85G50	ACCA_CYAM1	accA	accA				Cyanidioschyzon merolae (strain 10D) (Red alga)	acetyl-CoA carboxylase complex [GO:0009317]; chloroplast [GO:0009507]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	fatty acid biosynthetic process [GO:0006633]; malonyl-CoA biosynthetic process [GO:2001295]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]	acetyl-CoA carboxylase complex [GO:0009317]; chloroplast [GO:0009507]	GO:0003989; GO:0005524; GO:0006633; GO:0009317; GO:0009507; GO:0016743; GO:2001295
Q9TJ83	FTSH_CYAM1	ftsH	ftsH				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]	protein catabolic process [GO:0030163]	ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	GO:0004176; GO:0004222; GO:0005524; GO:0008270; GO:0009535; GO:0016021; GO:0030163
Q85FY4	HIS5_CYAM1	hisH	hisH				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]; glutamine metabolic process [GO:0006541]; histidine biosynthetic process [GO:0000105]	glutamine metabolic process [GO:0006541]; histidine biosynthetic process [GO:0000105]	glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	chloroplast [GO:0009507]	GO:0000105; GO:0000107; GO:0004359; GO:0006541; GO:0009507; GO:0016829
Q85FR2	ATPH_CYAM1	atpH	atpH				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		lipid binding [GO:0008289]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	GO:0008289; GO:0009535; GO:0016021; GO:0045263; GO:0046933
Q85FR1	ATPF2_CYAM1	atpF2 atpG	atpF2	atpG			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	GO:0009535; GO:0016021; GO:0045263; GO:0046933
Q85G22	CH60_CYAM1	groL groEL	groL	groEL			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	protein refolding [GO:0042026]	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]	chloroplast [GO:0009507]	GO:0005524; GO:0009507; GO:0016887; GO:0042026; GO:0051082
Q85FQ9	ATPD_CYAM1	atpD	atpD				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	GO:0009535; GO:0045261; GO:0046933
Q85FT3	ATPE_CYAM1	atpE	atpE				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast envelope [GO:0009941]; chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; mRNA binding [GO:0003729]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		ATP binding [GO:0005524]; mRNA binding [GO:0003729]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	chloroplast envelope [GO:0009941]; chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	GO:0003729; GO:0005524; GO:0009535; GO:0009941; GO:0045261; GO:0046933
O22025	CFXQ_CYAM1	Rca cfxQ	Rca	cfxQ			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]		ATPase activity [GO:0016887]; ATP binding [GO:0005524]	chloroplast [GO:0009507]	GO:0005524; GO:0009507; GO:0016887
Q85FS2	CYC6_CYAM1	petJ	petJ				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid lumen [GO:0009543]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	chloroplast thylakoid lumen [GO:0009543]	GO:0005506; GO:0009055; GO:0009543; GO:0015979; GO:0020037
Q85G16	CYB6_CYAM1	petB	petB				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; photosynthesis [GO:0015979]; respiratory electron transport chain [GO:0022904]	photosynthesis [GO:0015979]; respiratory electron transport chain [GO:0022904]	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity [GO:0045158]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]	GO:0003729; GO:0009535; GO:0015979; GO:0016021; GO:0022904; GO:0045158; GO:0046872
Q85FT2	ATPB_CYAM1	atpB	atpB				Cyanidioschyzon merolae (strain 10D) (Red alga)	cell wall [GO:0005618]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; thylakoid lumen [GO:0031977]; ATP binding [GO:0005524]; mRNA binding [GO:0003729]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; zinc ion binding [GO:0008270]; defense response to fungus [GO:0050832]; response to cold [GO:0009409]	defense response to fungus [GO:0050832]; response to cold [GO:0009409]	ATP binding [GO:0005524]; mRNA binding [GO:0003729]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; zinc ion binding [GO:0008270]	cell wall [GO:0005618]; chloroplast stroma [GO:0009570]; chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; thylakoid lumen [GO:0031977]	GO:0003729; GO:0005524; GO:0005618; GO:0008270; GO:0009409; GO:0009535; GO:0009570; GO:0031977; GO:0045261; GO:0046933; GO:0046961; GO:0050832
Q85FR0	ATPF_CYAM1	atpF	atpF				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; proton-transporting ATP synthase complex, coupling factor F(o) [GO:0045263]	GO:0009535; GO:0016021; GO:0045263; GO:0046933
Q85FQ8	ATPA_CYAM1	atpA	atpA				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]		ATP binding [GO:0005524]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]	GO:0005524; GO:0009535; GO:0045261; GO:0046933; GO:0046961
Q85FP7	CEMA_CYAM1	cemA ycf10	cemA	ycf10			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast inner membrane [GO:0009706]; integral component of membrane [GO:0016021]; proton transmembrane transporter activity [GO:0015078]		proton transmembrane transporter activity [GO:0015078]	chloroplast inner membrane [GO:0009706]; integral component of membrane [GO:0016021]	GO:0009706; GO:0015078; GO:0016021
Q85FW5	ARGB_CYAM1	argB	argB				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid [GO:0009534]; acetylglutamate kinase activity [GO:0003991]; arginine binding [GO:0034618]; ATP binding [GO:0005524]; arginine biosynthetic process via ornithine [GO:0042450]	arginine biosynthetic process via ornithine [GO:0042450]	acetylglutamate kinase activity [GO:0003991]; arginine binding [GO:0034618]; ATP binding [GO:0005524]	chloroplast thylakoid [GO:0009534]	GO:0003991; GO:0005524; GO:0009534; GO:0034618; GO:0042450
Q85FX6	ACSF_CYAM1	acsF ycf59	acsF	ycf59			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast inner membrane [GO:0009706]; chloroplast thylakoid membrane [GO:0009535]; iron ion binding [GO:0005506]; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity [GO:0048529]; mRNA binding [GO:0003729]; chloroplast organization [GO:0009658]; light-independent chlorophyll biosynthetic process [GO:0036068]; photosynthesis [GO:0015979]; regulation of tetrapyrrole metabolic process [GO:1901401]	chloroplast organization [GO:0009658]; light-independent chlorophyll biosynthetic process [GO:0036068]; photosynthesis [GO:0015979]; regulation of tetrapyrrole metabolic process [GO:1901401]	iron ion binding [GO:0005506]; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity [GO:0048529]; mRNA binding [GO:0003729]	chloroplast inner membrane [GO:0009706]; chloroplast thylakoid membrane [GO:0009535]	GO:0003729; GO:0005506; GO:0009535; GO:0009658; GO:0009706; GO:0015979; GO:0036068; GO:0048529; GO:1901401
Q85FS3	CY550_CYAM1	psbV	psbV				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; photosystem II [GO:0009523]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; cytochrome c-heme linkage [GO:0018063]; photosynthesis, light reaction [GO:0019684]; respiratory electron transport chain [GO:0022904]	cytochrome c-heme linkage [GO:0018063]; photosynthesis, light reaction [GO:0019684]; respiratory electron transport chain [GO:0022904]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]	chloroplast thylakoid membrane [GO:0009535]; photosystem II [GO:0009523]	GO:0005506; GO:0009055; GO:0009523; GO:0009535; GO:0018063; GO:0019684; GO:0020037; GO:0022904
Q85FZ0	ACP_CYAM1	acpP	acpP				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast [GO:0009507]; acyl carrier activity [GO:0000036]		acyl carrier activity [GO:0000036]	chloroplast [GO:0009507]	GO:0000036; GO:0009507
Q85FX0	CYF_CYAM1	petA	petA				Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast thylakoid membrane [GO:0009535]; integral component of thylakoid membrane [GO:0031361]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; mRNA binding [GO:0003729]; photosynthesis [GO:0015979]	photosynthesis [GO:0015979]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; mRNA binding [GO:0003729]	chloroplast thylakoid membrane [GO:0009535]; integral component of thylakoid membrane [GO:0031361]	GO:0003729; GO:0005506; GO:0009055; GO:0009535; GO:0015979; GO:0020037; GO:0031361
Q85FT7	EFTU_CYAM1	tufA tuf	tufA	tuf			Cyanidioschyzon merolae (strain 10D) (Red alga)	chloroplast envelope [GO:0009941]; chloroplast nucleoid [GO:0042644]; chloroplast thylakoid membrane [GO:0009535]; nucleolus [GO:0005730]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; mRNA binding [GO:0003729]; translation elongation factor activity [GO:0003746]; chloroplast organization [GO:0009658]	chloroplast organization [GO:0009658]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; mRNA binding [GO:0003729]; translation elongation factor activity [GO:0003746]	chloroplast envelope [GO:0009941]; chloroplast nucleoid [GO:0042644]; chloroplast thylakoid membrane [GO:0009535]; nucleolus [GO:0005730]	GO:0003729; GO:0003746; GO:0003924; GO:0005525; GO:0005730; GO:0009535; GO:0009658; GO:0009941; GO:0042644
