	Entry	Entry name	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Protein names	Function [CC]	Proteomes	Organism	Status	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (molecular function)	Gene ontology (cellular component)	Gene ontology IDs	Fragment	Gene encoded by	RNA editing	DNA binding	ChEBI (Cofactor)	Keywords	Interacts with	Post-translational modification	Features	Cross-reference (KEGG)
CMT087C	M1V7H5	M1V7H5_CYAM1	CYME_CMT087C				CYME_CMT087C	DNA helicase (EC 3.6.4.12)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication [GO:0006260]	DNA replication [GO:0006260]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]	chloroplast [GO:0009507]	GO:0003677; GO:0003678; GO:0005524; GO:0006260; GO:0009507						ATP-binding;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome			Compositional bias (1); Domain (1); Region (2)	cme:CYME_CMT087C;
CMT088C	M1UXC8	M1UXC8_CYAM1	CYME_CMT088C				CYME_CMT088C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (2); Region (3)	cme:CYME_CMT088C;
CMT089C	M1VI01	M1VI01_CYAM1	CYME_CMT089C				CYME_CMT089C	Electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (EC 1.5.5.1)	FUNCTION: Accepts electrons from ETF and reduces ubiquinone. {ECO:0000256|ARBA:ARBA00002819, ECO:0000256|RuleBase:RU366068}.	UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	4 iron, 4 sulfur cluster binding [GO:0051539]; electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; metal ion binding [GO:0046872]		4 iron, 4 sulfur cluster binding [GO:0051539]; electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; metal ion binding [GO:0046872]		GO:0004174; GO:0046872; GO:0051539					[4Fe-4S] cluster [CHEBI:49883]; FAD [CHEBI:57692]	Electron transport;FAD;Flavoprotein;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome;Transport;Ubiquinone			Domain (1); Region (1)	cme:CYME_CMT089C;
CMT090C	M1VMB0	M1VMB0_CYAM1	CYME_CMT090C				CYME_CMT090C	Probable vacuolar protein-sorting protein VPS45		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	vesicle-mediated transport [GO:0016192]	vesicle-mediated transport [GO:0016192]			GO:0016192						Reference proteome				cme:CYME_CMT090C;
CMT092C	M1VCA9	M1VCA9_CYAM1	CYME_CMT092C				CYME_CMT092C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (2)	cme:CYME_CMT092C;
CMT093C	M1V7H7	M1V7H7_CYAM1	CYME_CMT093C				CYME_CMT093C	Shikimate kinase (EC 2.7.1.71)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; shikimate kinase activity [GO:0004765]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	ATP binding [GO:0005524]; shikimate kinase activity [GO:0004765]		GO:0004765; GO:0005524; GO:0008652; GO:0009423						ATP-binding;Amino-acid biosynthesis;Kinase;Nucleotide-binding;Reference proteome;Transferase				cme:CYME_CMT093C;
CMT094C	M1UXD2	M1UXD2_CYAM1	CYME_CMT094C				CYME_CMT094C	Similar to 2-dehydropantoate 2-reductase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	oxidoreductase activity [GO:0016491]		oxidoreductase activity [GO:0016491]		GO:0016491						Reference proteome			Domain (2)	cme:CYME_CMT094C;
CMT096C	M1VI03	M1VI03_CYAM1	CYME_CMT096C				CYME_CMT096C	Nuclear transport factor importin alpha		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nuclear import signal receptor activity [GO:0061608]; protein import into nucleus [GO:0006606]	protein import into nucleus [GO:0006606]	nuclear import signal receptor activity [GO:0061608]		GO:0006606; GO:0061608						Protein transport;Reference proteome;Repeat;Transport			Compositional bias (2); Domain (1); Region (2); Repeat (4)	cme:CYME_CMT096C;
CMT097C	M1VMB3	M1VMB3_CYAM1	CYME_CMT097C				CYME_CMT097C	Kinesin-related protein, C-terminal motor subfamily		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; starch binding [GO:2001070]; microtubule-based movement [GO:0007018]	microtubule-based movement [GO:0007018]	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity [GO:1990939]; microtubule binding [GO:0008017]; starch binding [GO:2001070]		GO:0005524; GO:0007018; GO:0008017; GO:1990939; GO:2001070						ATP-binding;Coiled coil;Motor protein;Nucleotide-binding;Reference proteome			Coiled coil (3); Compositional bias (2); Domain (3); Nucleotide binding (1); Region (4)	cme:CYME_CMT097C;
CMT098C	M1VCB2	M1VCB2_CYAM1	CYME_CMT098C				CYME_CMT098C	Ubiquitinyl hydrolase 1 (EC 3.4.19.12)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	thiol-dependent deubiquitinase [GO:0004843]; zinc ion binding [GO:0008270]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]	thiol-dependent deubiquitinase [GO:0004843]; zinc ion binding [GO:0008270]		GO:0004843; GO:0006511; GO:0008270; GO:0016579						Metal-binding;Reference proteome;Repeat;Zinc;Zinc-finger			Domain (4); Region (2); Zinc finger (1)	cme:CYME_CMT098C;
CMT099C	M1V7H9	M1V7H9_CYAM1	CYME_CMT099C				CYME_CMT099C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Transmembrane (1)	cme:CYME_CMT099C;
CMT100C	M1UXD5	M1UXD5_CYAM1	CYME_CMT100C				CYME_CMT100C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMT100C;
CMT102C	M1VI06	M1VI06_CYAM1	CYME_CMT102C				CYME_CMT102C	Aldo_ket_red domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	D-threo-aldose 1-dehydrogenase activity [GO:0047834]		D-threo-aldose 1-dehydrogenase activity [GO:0047834]		GO:0047834						Reference proteome			Domain (1)	cme:CYME_CMT102C;
CMT103C	M1VMB6	M1VMB6_CYAM1	CYME_CMT103C				CYME_CMT103C	Probable glutathione-S-transferase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	transferase activity [GO:0016740]; glutathione metabolic process [GO:0006749]	glutathione metabolic process [GO:0006749]	transferase activity [GO:0016740]		GO:0006749; GO:0016740						Reference proteome;Transferase			Domain (2); Region (1)	cme:CYME_CMT103C;
CMT104C	M1VCB5	M1VCB5_CYAM1	CYME_CMT104C				CYME_CMT104C	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	FUNCTION: Heme-dependent dioxygenase that catalyzes the oxidative cleavage of the L-tryptophan (L-Trp) pyrrole ring and converts L-tryptophan to N-formyl-L-kynurenine. Catalyzes the oxidative cleavage of the indole moiety. {ECO:0000256|HAMAP-Rule:MF_03020}.	UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	heme binding [GO:0020037]; metal ion binding [GO:0046872]; tryptophan 2,3-dioxygenase activity [GO:0004833]; tryptophan catabolic process to kynurenine [GO:0019441]	tryptophan catabolic process to kynurenine [GO:0019441]	heme binding [GO:0020037]; metal ion binding [GO:0046872]; tryptophan 2,3-dioxygenase activity [GO:0004833]		GO:0004833; GO:0019441; GO:0020037; GO:0046872					heme [CHEBI:30413]	Dioxygenase;Heme;Iron;Metal-binding;Oxidoreductase;Reference proteome;Tryptophan catabolism			Compositional bias (2); Region (2)	cme:CYME_CMT104C;
CMT105C	M1V7I0	M1V7I0_CYAM1	CYME_CMT105C				CYME_CMT105C	Pescadillo homolog	FUNCTION: Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit. {ECO:0000256|HAMAP-Rule:MF_03028}.	UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]; ribonucleoprotein complex binding [GO:0043021]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	ribonucleoprotein complex binding [GO:0043021]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; preribosome, large subunit precursor [GO:0030687]	GO:0000463; GO:0000466; GO:0005654; GO:0005730; GO:0030687; GO:0043021						Nucleus;Reference proteome;Ribosome biogenesis;rRNA processing			Compositional bias (2); Domain (1); Region (3)	cme:CYME_CMT105C;
CMT106C	M1UXD8	M1UXD8_CYAM1	CYME_CMT106C				CYME_CMT106C	acidPPc domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Domain (1); Transmembrane (4)	cme:CYME_CMT106C;
CMT107C	M1VI07	M1VI07_CYAM1	CYME_CMT107C				CYME_CMT107C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Region (1)	cme:CYME_CMT107C;
CMT109C	M1VMB9	M1VMB9_CYAM1	CYME_CMT109C				CYME_CMT109C	Similar to cyclin M2		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						CBS domain;Membrane;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (4); Domain (2); Region (2); Transmembrane (3)	cme:CYME_CMT109C;
CMT110C	M1VCB8	M1VCB8_CYAM1	CYME_CMT110C				CYME_CMT110C	Sulfate adenylyltransferase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]		ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781]		GO:0004781; GO:0005524						ATP-binding;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase			Domain (2)	cme:CYME_CMT110C;
CMT113C	M1V7I2	M1V7I2_CYAM1	CYME_CMT113C				CYME_CMT113C	Probable phosphoribosyl diphosphate synthetase ribose-phosphate pyrophosphokinase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]; nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]	nucleoside metabolic process [GO:0009116]; nucleotide biosynthetic process [GO:0009165]	kinase activity [GO:0016301]; magnesium ion binding [GO:0000287]; ribose phosphate diphosphokinase activity [GO:0004749]		GO:0000287; GO:0004749; GO:0009116; GO:0009165; GO:0016301						Kinase;Nucleotide biosynthesis;Reference proteome;Transferase			Compositional bias (1); Domain (1); Region (1)	cme:CYME_CMT113C;
CMT114C	M1UXE1	M1UXE1_CYAM1	CYME_CMT114C				CYME_CMT114C	Similar to ribonuclease PH		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1)	cme:CYME_CMT114C;
CMT115C	M1VI10	M1VI10_CYAM1	CYME_CMT115C				CYME_CMT115C	Similar to transcriptional coactivator p100		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome;Repeat			Coiled coil (1); Compositional bias (3); Domain (2); Region (5)	cme:CYME_CMT115C;
CMT116C	M1VMC2	M1VMC2_CYAM1	CYME_CMT116C				CYME_CMT116C	ATP_bind_3 domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Domain (1); Region (3)	cme:CYME_CMT116C;
CMT117C	M1VCC1	M1VCC1_CYAM1	CYME_CMT117C				CYME_CMT117C	Probable hydroxyacylglutathione hydrolase, cytoplasmic		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243]	hydroxyacylglutathione hydrolase activity [GO:0004416]; metal ion binding [GO:0046872]		GO:0004416; GO:0019243; GO:0046872						Coiled coil;Hydrolase;Metal-binding;Reference proteome;Zinc			Coiled coil (1); Domain (1)	cme:CYME_CMT117C;
CMT118C	M1V7I4	M1V7I4_CYAM1	CYME_CMT118C				CYME_CMT118C	Similar to bacterial peptide chain release factor		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	translation release factor activity [GO:0003747]		translation release factor activity [GO:0003747]		GO:0003747						Coiled coil;Reference proteome			Coiled coil (1); Domain (1); Region (1)	cme:CYME_CMT118C;
CMT119C	M1UXE4	M1UXE4_CYAM1	CYME_CMT119C				CYME_CMT119C	Inorganic diphosphatase (EC 3.6.1.1)		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	cytoplasm [GO:0005737]; fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]; carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; inorganic diphosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]	GO:0000287; GO:0004427; GO:0005737; GO:0005975; GO:0042132					Mg(2+) [CHEBI:18420]	Carbohydrate metabolism;Hydrolase;Magnesium;Metal-binding;Reference proteome			Compositional bias (2); Domain (2); Region (1)	cme:CYME_CMT119C;
CMT120C	M1VI14	M1VI14_CYAM1	CYME_CMT120C				CYME_CMT120C	ABC transporter, LktB-related		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]		ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]	integral component of membrane [GO:0016021]	GO:0005524; GO:0016021; GO:0042626						ATP-binding;Membrane;Nucleotide-binding;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (4); Domain (2); Region (5); Transmembrane (6)	cme:CYME_CMT120C;
CMT121C	M1VMC4	M1VMC4_CYAM1	CYME_CMT121C				CYME_CMT121C	Similar to sphingosine kinase		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	NAD+ kinase activity [GO:0003951]		NAD+ kinase activity [GO:0003951]		GO:0003951						Kinase;Reference proteome;Transferase			Domain (1); Region (1)	cme:CYME_CMT121C;
CMT122C	M1VCC4	M1VCC4_CYAM1	CYME_CMT122C				CYME_CMT122C	ATP-dependent Hsl protease ATP-binding subunit HslU, heat shock protein HslU		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	chloroplast [GO:0009507]; HslUV protease complex [GO:0009376]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; peptidase activity [GO:0008233]		ATPase activity [GO:0016887]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]	chloroplast [GO:0009507]; HslUV protease complex [GO:0009376]	GO:0005524; GO:0008233; GO:0009376; GO:0009507; GO:0016887						ATP-binding;Chaperone;Coiled coil;Hydrolase;Nucleotide-binding;Protease;Reference proteome;Stress response			Coiled coil (1); Compositional bias (1); Domain (2); Region (1)	cme:CYME_CMT122C;
CMT124C	M1V7I6	M1V7I6_CYAM1	CYME_CMT124C				CYME_CMT124C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (3); Region (2)	cme:CYME_CMT124C;
CMT126C	M1UXE8	M1UXE8_CYAM1	CYME_CMT126C				CYME_CMT126C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Coiled coil;Reference proteome			Coiled coil (1); Region (1)	cme:CYME_CMT126C;
CMT127C	M1VI17	M1VI17_CYAM1	CYME_CMT127C				CYME_CMT127C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (2)	cme:CYME_CMT127C;
CMT128C	M1VMC7	M1VMC7_CYAM1	CYME_CMT128C				CYME_CMT128C	acidPPc domain-containing protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	integral component of membrane [GO:0016021]			integral component of membrane [GO:0016021]	GO:0016021						Membrane;Reference proteome;Transmembrane;Transmembrane helix			Compositional bias (1); Domain (1); Region (2); Transmembrane (5)	cme:CYME_CMT128C;
CMT130C	M1VCC7	M1VCC7_CYAM1	CYME_CMT130C				CYME_CMT130C	Nucleolar GTP-binding protein 2	FUNCTION: GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation. {ECO:0000256|RuleBase:RU364023}.	UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	nucleolus [GO:0005730]; GTP binding [GO:0005525]		GTP binding [GO:0005525]	nucleolus [GO:0005730]	GO:0005525; GO:0005730						GTP-binding;Nucleotide-binding;Nucleus;Reference proteome			Compositional bias (3); Domain (1); Region (4)	cme:CYME_CMT130C;
CMT131C	M1V7I7	M1V7I7_CYAM1	CYME_CMT131C				CYME_CMT131C	Probable RNA helicase with DEAD box		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]		ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]		GO:0003723; GO:0004386; GO:0005524; GO:0016787						ATP-binding;Coiled coil;Helicase;Hydrolase;Nucleotide-binding;RNA-binding;Reference proteome			Coiled coil (1); Compositional bias (1); Domain (3); Motif (1); Region (3)	cme:CYME_CMT131C;
CMT134C	M1UXF1	M1UXF1_CYAM1	CYME_CMT134C				CYME_CMT134C	MYB-related protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (4); Domain (3); Region (6)	cme:CYME_CMT134C;
CMT135C	M1VI19	M1VI19_CYAM1	CYME_CMT135C				CYME_CMT135C	Uncharacterized protein		UP000007014: Chromosome 20	Cyanidioschyzon merolae (strain 10D) (Red alga)	unreviewed											Reference proteome			Compositional bias (1); Region (1)	cme:CYME_CMT135C;
